"ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","entrezid"
"ENSMUSG00000000001",472.904230370118,0.0671984969306711,0.23237279597864,0.289184009890934,0.772440567612353,0.910990482449944,"Gnai3","14679"
"ENSMUSG00000000028",182.300198140025,1.46398623322634,0.427168122207032,3.42718980447891,0.000609862631248302,0.00881513949411098,"Cdc45","12544"
"ENSMUSG00000000037",6.64662714397539,1.52086505708371,1.37147129582118,1.10892955741599,0.267460571727953,NA,"Scml2","107815"
"ENSMUSG00000000056",149.378118491321,-1.10752807626942,0.312104015206489,-3.54858644012214,0.000387304852345987,0.00623360482180998,"Narf","67608"
"ENSMUSG00000000058",8.51755333498435,-0.491316891329188,1.1356432894219,-0.432633112796617,0.665281329465951,NA,"Cav2","12390"
"ENSMUSG00000000078",905.548289111793,0.911080833688428,0.248940558145917,3.65983285517661,0.000252379817362501,0.00448044170221036,"Klf6","23849"
"ENSMUSG00000000085",69.5874237142093,-0.339787952911207,0.401783285357737,-0.845699573113573,0.397720361358666,0.687328523285988,"Scmh1","29871"
"ENSMUSG00000000088",4475.47331395751,0.292784187102799,0.206650962370429,1.41680534048505,0.156539847885329,0.421107608339924,"Cox5a","12858"
"ENSMUSG00000000093",2.24837746982401,-0.0319862389159013,1.78062266859388,-0.0179635132586289,0.985667960913022,NA,"Tbx2","21385"
"ENSMUSG00000000126",2.98160146966402,-0.333981454189501,1.5683325002306,-0.212953218874438,0.831363451613366,NA,"Wnt9a","216795"
"ENSMUSG00000000127",159.103126448257,0.336938581981644,0.364953449579241,0.923237148107804,0.355883633774805,0.652793264376186,"Fer","14158"
"ENSMUSG00000000131",93.8310720332628,0.332027457695675,0.357466176555787,0.928836011548796,0.352974078602133,0.649797145193278,"Xpo6","74204"
"ENSMUSG00000000134",79.8081308754802,0.0771242151339371,0.374471481097021,0.205954843097798,0.836826185033267,0.936269906921148,"Tfe3","209446"
"ENSMUSG00000000142",90.5423309905717,-0.407207554543957,0.360364506473141,-1.12998796282482,0.258481296632318,0.55589031782815,"Axin2","12006"
