"Row.names","logFC","logCPM","PValue","FDR","external_gene_name"
"ENSMUSG00000000001",0.00857442512361602,5.82229553595153,0.978475633164795,1,"Gnai3"
"ENSMUSG00000000028",-0.0765091793454096,4.71989808937542,0.915155825419915,1,"Cdc45"
"ENSMUSG00000000056",-0.305797954043819,4.24880326578727,0.541428702892008,1,"Narf"
"ENSMUSG00000000058",-1.35290204985264,0.726243952747599,0.109832848569347,1,"Cav2"
"ENSMUSG00000000078",-0.0589013732398719,6.67792151415759,0.893968413522197,1,"Klf6"
"ENSMUSG00000000085",-0.134565765984615,3.06434378373756,0.74452088633411,1,"Scmh1"
"ENSMUSG00000000088",-0.0363896147059819,9.31175132166556,0.897244269515595,1,"Cox5a"
"ENSMUSG00000000127",-0.361592320803916,4.54132447401075,0.301303218300985,1,"Fer"
"ENSMUSG00000000131",0.132707136500114,3.56727608773082,0.700768600785026,1,"Xpo6"
"ENSMUSG00000000134",0.089400727512736,3.41568101010578,0.777543181959946,1,"Tfe3"
"ENSMUSG00000000142",-0.303003333011506,3.42735850709882,0.439760526675268,1,"Axin2"
"ENSMUSG00000000148",-0.360648327822622,3.24796289397218,0.359035664782518,1,"Brat1"
"ENSMUSG00000000149",0.00302957392213466,3.43199837843248,1,1,"Gna12"
"ENSMUSG00000000167",-0.356420472344042,2.99292038285258,0.369300784174523,1,"Pih1d2"
"ENSMUSG00000000168",0.114125819366451,4.62995254437969,0.738953487951691,1,"Dlat"
"ENSMUSG00000000171",0.0884550120777401,7.77844321197999,0.755547918692136,1,"Sdhd"
"ENSMUSG00000000184",0.622603580974122,9.45710259575043,0.402424190338529,1,"Ccnd2"
"ENSMUSG00000000194",0.181982686141716,5.18185088388382,0.518678322657258,1,"Gpr107"
"ENSMUSG00000000202",-0.858367228669512,5.28489925708236,0.137344455852382,1,"Btbd17"
"ENSMUSG00000000214",-0.242927891301671,0.977687748014339,0.748027869398241,1,"Th"
"ENSMUSG00000000247",0.472074199220341,2.25939449083984,0.282952550202849,1,"Lhx2"
"ENSMUSG00000000253",0.98101621815822,4.92412832890517,0.0115739624781047,0.920448592454394,"Gmpr"
"ENSMUSG00000000266",0.684541014937504,1.62210348845151,0.257065586630753,1,"Mid2"
"ENSMUSG00000000276",0.464415257953806,2.92253286427238,0.235304578582235,1,"Dgke"
"ENSMUSG00000000278",-0.226062402454631,5.9188367120416,0.418495040477638,1,"Scpep1"
"ENSMUSG00000000282",0.124277571870271,2.18554103821563,0.790655150961748,1,"Mnt"
"ENSMUSG00000000295",-0.233061744664607,6.30798156305955,0.384833006904006,1,"Hddc2"
"ENSMUSG00000000296",0.129914442332802,3.40769575816454,0.830617767091584,1,"Tpd52l1"
"ENSMUSG00000000301",0.243389528276805,2.46457779338557,0.600200984480425,1,"Pemt"
"ENSMUSG00000000305",0.250956941164101,5.81629944357043,0.598220856598308,1,"Cdh4"
"ENSMUSG00000000317",-0.154216404239238,1.26072452579132,0.922817966168415,1,"Bcl6b"
"ENSMUSG00000000325",0.342687521373482,4.1039983881873,0.609773758612338,1,"Arvcf"
"ENSMUSG00000000326",-0.40491667059806,6.61788317498664,0.26307310324509,1,"Comt"
"ENSMUSG00000000339",0.0859073377589093,6.47820634394294,0.756756025932946,1,"Rtca"
"ENSMUSG00000000340",-0.260474037021793,4.44598057802647,0.422816794165497,1,"Dbt"
"ENSMUSG00000000346",-0.100638763434254,7.26724311204284,0.709645095137798,1,"Dazap2"
"ENSMUSG00000000355",-0.349312416026916,6.13861084439649,0.186895613242079,1,"Mcts1"
"ENSMUSG00000000374",0.0676803258593673,2.60993640166226,0.945762387721477,1,"Trappc10"
"ENSMUSG00000000378",-0.0070314021581052,4.70721762813771,0.982053791886702,1,"Ccm2"
"ENSMUSG00000000384",0.242611119705582,4.16365483586489,0.667208157607508,1,"Tbrg4"
"ENSMUSG00000000386",-1.04946678573082,0.874630252519563,0.193350275856444,1,"Mx1"
"ENSMUSG00000000399",-0.0661680196616174,7.12100035494875,0.800452285587205,1,"Ndufa9"
"ENSMUSG00000000409",1.31623238208756,0.498340451905926,0.0426379323692209,1,"Lck"
"ENSMUSG00000000416",-0.784943033779827,4.91209464004135,0.124254834628746,1,"Cttnbp2"
"ENSMUSG00000000420",0.141834759973605,4.28055737489276,0.639153675320716,1,"Galnt1"
"ENSMUSG00000000439",0.0194049395659301,4.10956128051139,0.957837318402374,1,"Mkrn2"
"ENSMUSG00000000441",-0.0260475352845392,4.7165091039052,0.930227923207934,1,"Raf1"
"ENSMUSG00000000486",-0.556639951292454,3.28350856136656,0.441857393319739,1,"Sept1"
"ENSMUSG00000000532",0.228173218301079,1.68554824128335,0.809194933998646,1,"Acvr1b"
"ENSMUSG00000000538",0.454684406598494,3.16922250459075,0.30294678473406,1,"Tom1l2"
"ENSMUSG00000000552",-0.0185870723904758,3.19846785516163,0.978741577807524,1,"Zfp385a"
"ENSMUSG00000000555",-0.0163609747386164,3.29031167132993,0.999999999999992,1,"Itga5"
"ENSMUSG00000000560",0.919018557601741,3.16705138226535,0.245472325203878,1,"Gabra2"
"ENSMUSG00000000561",0.47299857782972,5.75314199868572,0.382966903598391,1,"Wdr77"
"ENSMUSG00000000562",0.0116455945849761,0.450686629614036,1,1,"Adora3"
"ENSMUSG00000000563",0.00103460812867299,9.12402441676921,0.997119688453545,1,"Atp5f1"
"ENSMUSG00000000567",0.553555133890919,7.12316254373982,0.110825138236662,1,"Sox9"
"ENSMUSG00000000568",0.0201667844587895,4.71249161150076,0.960911411323565,1,"Hnrnpd"
"ENSMUSG00000000579",-0.635842714256515,5.577130651553,0.0543930427241748,1,"Dynlt1c"
"ENSMUSG00000000581",-0.0874954758084438,6.41528490902362,0.737688114504551,1,"C1d"
"ENSMUSG00000000594",0.139261075820069,5.36720813701603,0.845374934973477,1,"Gm2a"
"ENSMUSG00000000600",0.149217736307584,6.64917625368592,0.666366052150555,1,"Krit1"
