ensembl_gene_id	entrezgene
ENSMUSG00000015759	12793
ENSMUSG00000004698	79221
ENSMUSG00000042744	269700
ENSMUSG00000101915	NA
ENSMUSG00000021786	71147
ENSMUSG00000113857	NA
ENSMUSG00000087582	NA
ENSMUSG00000096927	NA
ENSMUSG00000086234	NA
ENSMUSG00000112970	NA
ENSMUSG00000093898	NA
ENSMUSG00000113778	NA
ENSMUSG00000113641	NA
ENSMUSG00000115260	NA
ENSMUSG00000091754	100041151
ENSMUSG00000021565	74338
ENSMUSG00000101207	NA
ENSMUSG00000113135	NA
ENSMUSG00000092533	NA
ENSMUSG00000117378	NA
ENSMUSG00000113955	NA
ENSMUSG00000095298	NA
ENSMUSG00000016982	195236
ENSMUSG00000113661	NA
ENSMUSG00000106993	NA
ENSMUSG00000113118	NA
ENSMUSG00000092584	NA
ENSMUSG00000058126	NA
ENSMUSG00000103533	NA
ENSMUSG00000007682	13371
ENSMUSG00000054814	69727
ENSMUSG00000113468	NA
ENSMUSG00000107180	NA
ENSMUSG00000102301	NA
ENSMUSG00000057722	16847
ENSMUSG00000117636	NA
ENSMUSG00000082962	NA
ENSMUSG00000094590	NA
ENSMUSG00000086415	NA
ENSMUSG00000113381	NA
ENSMUSG00000115269	NA
ENSMUSG00000093622	NA
ENSMUSG00000096294	100042688
ENSMUSG00000115572	NA
ENSMUSG00000113565	NA
ENSMUSG00000097071	NA
ENSMUSG00000110018	71432
ENSMUSG00000102342	NA
ENSMUSG00000031933	64931
ENSMUSG00000093520	NA
ENSMUSG00000117407	NA
ENSMUSG00000036093	75423
ENSMUSG00000113482	NA
ENSMUSG00000027669	14696
ENSMUSG00000075266	66311
ENSMUSG00000113008	NA
ENSMUSG00000097951	NA
ENSMUSG00000113806	NA
ENSMUSG00000068969	NA
ENSMUSG00000105962	NA
ENSMUSG00000062128	258925
ENSMUSG00000109762	NA
ENSMUSG00000097562	NA
ENSMUSG00000021822	18792
ENSMUSG00000097157	NA
ENSMUSG00000026087	107734
ENSMUSG00000113168	NA
ENSMUSG00000105856	NA
ENSMUSG00000113618	NA
ENSMUSG00000106208	NA
ENSMUSG00000093621	NA
ENSMUSG00000105230	NA
ENSMUSG00000117640	NA
ENSMUSG00000110724	NA
ENSMUSG00000036968	66455
ENSMUSG00000101592	NA
ENSMUSG00000117258	NA
ENSMUSG00000117521	NA
ENSMUSG00000043308	171241
ENSMUSG00000115792	171202
ENSMUSG00000081471	NA
ENSMUSG00000100609	102635519
ENSMUSG00000084792	NA
ENSMUSG00000032479	17758
ENSMUSG00000069825	NA
ENSMUSG00000044065	NA
ENSMUSG00000033960	240185
ENSMUSG00000032531	56332
ENSMUSG00000083248	NA
ENSMUSG00000096176	NA
ENSMUSG00000084910	NA
ENSMUSG00000110491	NA
ENSMUSG00000025019	212391
ENSMUSG00000076870	NA
ENSMUSG00000113740	NA
ENSMUSG00000073929	NA
ENSMUSG00000112920	380709
ENSMUSG00000110646	NA
ENSMUSG00000092469	NA
ENSMUSG00000101625	NA
ENSMUSG00000038721	15415
ENSMUSG00000085300	NA
ENSMUSG00000026246	11650
ENSMUSG00000032349	68801
ENSMUSG00000024911	58249
ENSMUSG00000092369	73322
ENSMUSG00000114907	NA
ENSMUSG00000091834	NA
ENSMUSG00000024388	17922
ENSMUSG00000113763	NA
ENSMUSG00000076867	NA
ENSMUSG00000021785	59007
ENSMUSG00000113784	NA
ENSMUSG00000004231	18504
ENSMUSG00000101235	NA
ENSMUSG00000107470	NA
ENSMUSG00000099492	NA
ENSMUSG00000115644	171189
ENSMUSG00000021322	27052
ENSMUSG00000113920	NA
ENSMUSG00000115185	NA
ENSMUSG00000104658	NA
ENSMUSG00000115106	NA
ENSMUSG00000101726	NA
ENSMUSG00000115342	NA
ENSMUSG00000060708	117197
ENSMUSG00000117585	NA
ENSMUSG00000053185	NA
ENSMUSG00000096749	NA
ENSMUSG00000107081	NA
ENSMUSG00000078817	378425
ENSMUSG00000115093	NA
ENSMUSG00000114163	NA
ENSMUSG00000100261	NA
ENSMUSG00000085530	NA
ENSMUSG00000101185	NA
ENSMUSG00000097043	NA
ENSMUSG00000019087	54411
ENSMUSG00000100324	NA
ENSMUSG00000070645	19701
ENSMUSG00000070645	19702
ENSMUSG00000102173	NA
ENSMUSG00000092602	NA
ENSMUSG00000100746	NA
ENSMUSG00000020427	16009
ENSMUSG00000109749	NA
ENSMUSG00000021492	58992
ENSMUSG00000081834	NA
ENSMUSG00000097682	NA
ENSMUSG00000101083	NA
ENSMUSG00000117466	NA
ENSMUSG00000087250	NA
ENSMUSG00000020448	193670
ENSMUSG00000113560	NA
ENSMUSG00000117455	NA
ENSMUSG00000034271	81703
ENSMUSG00000106973	NA
ENSMUSG00000027787	97112
ENSMUSG00000045573	18619
ENSMUSG00000113651	NA
ENSMUSG00000108300	NA
ENSMUSG00000117522	NA
ENSMUSG00000071650	14376
ENSMUSG00000082027	NA
ENSMUSG00000101944	NA
ENSMUSG00000048582	14611
ENSMUSG00000112973	NA
ENSMUSG00000087534	NA
ENSMUSG00000086160	NA
ENSMUSG00000085130	NA
ENSMUSG00000083429	NA
ENSMUSG00000113315	NA
ENSMUSG00000085996	NA
ENSMUSG00000101993	NA
ENSMUSG00000020703	NA
ENSMUSG00000081873	NA
ENSMUSG00000069184	238722
ENSMUSG00000085315	NA
ENSMUSG00000022479	22337
ENSMUSG00000102118	NA
ENSMUSG00000101664	NA
ENSMUSG00000102524	NA
ENSMUSG00000100776	NA
ENSMUSG00000099054	NA
ENSMUSG00000114572	NA
ENSMUSG00000118393	NA
ENSMUSG00000098126	NA
ENSMUSG00000118182	NA
ENSMUSG00000025201	NA
ENSMUSG00000099935	NA
ENSMUSG00000089659	NA
ENSMUSG00000117928	NA
ENSMUSG00000082453	NA
ENSMUSG00000114244	NA
ENSMUSG00000017412	12298
ENSMUSG00000117761	NA
ENSMUSG00000097522	102638947
ENSMUSG00000100667	NA
ENSMUSG00000015599	106763
ENSMUSG00000104917	NA
ENSMUSG00000041354	19732
ENSMUSG00000013495	72392
ENSMUSG00000105835	NA
ENSMUSG00000101623	100861821
ENSMUSG00000032519	208638
ENSMUSG00000100969	70011
ENSMUSG00000019851	64058
ENSMUSG00000098227	NA
ENSMUSG00000000552	29813
