"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000000823"	69	47	41	52	85	30
"ENSMUSG00000000826"	421	392	294	383	385	322
"ENSMUSG00000000827"	716	863	585	744	680	707
"ENSMUSG00000000838"	170	230	130	167	220	159
"ENSMUSG00000000861"	274	199	313	169	383	207
"ENSMUSG00000000869"	8	7	6	2	10	5
"ENSMUSG00000000876"	216	178	177	140	199	110
"ENSMUSG00000000881"	34	22	32	23	60	25
"ENSMUSG00000000884"	44	70	36	82	50	77
"ENSMUSG00000000901"	10	23	5	6	27	12
"ENSMUSG00000000902"	901	1071	779	916	771	781
"ENSMUSG00000000903"	0	0	0	0	0	1
"ENSMUSG00000000915"	45	28	27	38	69	25
"ENSMUSG00000000916"	227	495	287	301	252	380
"ENSMUSG00000000934"	28	30	12	26	23	30
"ENSMUSG00000000938"	54	325	0	411	777	391
"ENSMUSG00000000942"	14	21	29	9	8	9
"ENSMUSG00000000948"	75	53	68	29	102	74
"ENSMUSG00000000957"	53	62	81	68	88	72
"ENSMUSG00000000958"	1	2	0	3	5	4
"ENSMUSG00000000959"	608	585	549	552	552	451
"ENSMUSG00000000976"	163	202	142	148	147	135
"ENSMUSG00000001014"	0	0	1	0	0	0
"ENSMUSG00000001016"	848	1005	915	959	678	915
"ENSMUSG00000001017"	1303	1339	1344	1363	1775	1423
"ENSMUSG00000001018"	1081	677	901	689	1385	581
"ENSMUSG00000001020"	45	21	22	15	24	10
"ENSMUSG00000001021"	34	79	59	24	21	60
"ENSMUSG00000001025"	40	30	12	9	189	9
"ENSMUSG00000001034"	124	229	87	207	89	199
"ENSMUSG00000001036"	293	863	245	711	288	732
"ENSMUSG00000001039"	505	526	541	452	583	391
"ENSMUSG00000001052"	62	98	41	82	102	97
"ENSMUSG00000001053"	6	28	8	23	6	11
"ENSMUSG00000001054"	153	143	102	129	140	106
