"","logFC","logCPM","PValue","FDR"
"mmu-mir-302a-5p",-6.52088433730037,0.154930549550684,0.2622709966715,1
"mmu-mir-450a-2-3p",-6.46648930337036,0.0400510533518872,0.310425594800468,1
"mmu-mir-8092",-6.27473245484855,0.0458109109716918,0.0148006915310084,0.619091782897037
"mmu-mir-540-3p",-6.16744482000858,-0.0611688583242134,0.0970330574801959,1
"mmu-mir-883a-3p",-6.10557238063723,-0.299849311254891,0.53511285682612,1
"mmu-mir-380-3p",-6.07004215061792,-0.0991971153515976,0.209007159473153,1
"mmu-mir-466o-3p",-6.04674650781112,-0.22197319083182,0.180698385119021,1
"mmu-mir-770-3p",-6.02104571184348,-0.207335558998246,0.0572700005172703,0.871720779282919
"mmu-mir-493-5p",-5.98745513461204,-0.169487099307476,0.0335606247316034,0.835041186791226
"mmu-mir-743b-3p",-5.92694742864785,-0.466973897585081,0.682170743494222,1
"mmu-mir-3097-5p",-5.91619610597603,-0.288535354445478,0.0509918549371583,0.871720779282919
"mmu-mir-380-5p",-5.86612924743696,-0.294827254795111,0.0185924713101232,0.659397766443601
"mmu-mir-487b-3p",-5.79824567134496,-0.365990838246324,0.0975027711913238,1
"mmu-mir-412-5p",-5.7982262790779,-0.333967598137916,0.0213231700623259,0.664194063217981
"mmu-mir-376b-3p",-5.69613579049502,-0.447263036987866,0.0923229882246527,0.987653574860485
"mmu-mir-1258-5p",-5.64077522063073,-0.5028883527468,0.0469906450559901,0.871720779282919
"mmu-mir-485-5p",-5.62929627182336,-0.424631996145787,0.296611714912097,1
"mmu-mir-302d-3p",-5.60835461312062,-0.525135601258321,0.330029268173367,1
"mmu-mir-3090-5p",5.60070090608172,-1.23661397015958,0.0048900762126118,0.385338146338506
"mmu-mir-291b-5p",-5.48438403815117,-0.623873919449585,0.357469052781159,1
"mmu-mir-7047-5p",5.41229673810541,-1.32038401359276,0.0101748497706134,0.473035907726449
"mmu-mir-665-3p",-5.34061513304257,-0.672327443969974,0.340471233397824,1
"mmu-mir-434-3p",-5.30406449365112,3.41610099882766,0.00217089182772676,0.265399207231752
"mmu-mir-6913-3p",-5.27917816702908,-0.751047459729158,0.301007607834368,1
"mmu-mir-370-5p",-5.27771382891074,-0.695404087293987,0.374051998887314,1
"mmu-mir-5129-5p",-5.272997751442,-0.769681990786877,0.0984905089790704,1
"mmu-mir-6942-5p",-5.20296022391759,-0.788137650419503,0.114510870399588,1
"mmu-mir-376c-3p",-5.19217252348948,-0.783539744629323,0.11995361367662,1
"mmu-mir-7235-3p",-5.18838371451906,-0.7290552985736,0.117311851558923,1
"mmu-mir-471-5p",-5.17133262431541,-0.873979316420668,0.436071691655927,1
"mmu-mir-6970-3p",-5.13017835587106,-0.765639851256259,0.113477368904517,1
"mmu-mir-667-5p",-5.12997291927682,-0.861557619888189,0.137203012334793,1
"mmu-mir-409-5p",-5.08740132347154,2.2845800374062,0.00252818092394186,0.284712067126991
"mmu-mir-673-5p",-5.04615458487868,-0.865542078866363,0.30680613287924,1
"mmu-mir-7038-5p",-5.00657431926953,-0.895882687983483,0.408802485973773,1
"mmu-mir-7013-3p",-5.00550072616522,-0.938155155247582,0.483526837198865,1
"mmu-mir-688",-4.98222096701445,-0.860929394926421,0.137962062127803,1
"mmu-mir-6910-3p",4.94035765069819,-1.50626028239479,0.0227632687393999,0.680110723152681
"mmu-mir-433-3p",-4.93698443390247,2.14345979302824,0.00552739144338022,0.385338146338506
"mmu-mir-466h-3p",-4.92281522970531,1.23037041735844,0.16920852513921,1
"mmu-mir-880-3p",-4.91956836964406,-0.962813976078818,0.380509766573408,1
"mmu-mir-7069-5p",-4.85395575726288,-1.03307662089466,0.447339733088948,1
"mmu-mir-7019-5p",-4.85352716376968,-0.92219388396108,0.145079255781502,1
"mmu-mir-3154",-4.83159048143956,-0.945532981645483,0.258315969740311,1
"mmu-mir-6537-3p",-4.8279786354527,-0.962494266690612,0.182878339495853,1
"mmu-mir-873a-5p",-4.81406512928059,-1.00633456524884,0.173636690138505,1
"mmu-mir-3618-3p",-4.81406512928059,-1.00633456524884,0.173636690138505,1
"mmu-mir-370-3p",-4.81129199078623,4.45986150800137,0.00126586979798554,0.264747626321548
"mmu-mir-466b-3p",-4.80102353929756,-1.10808208495532,0.580800414732486,1
"mmu-mir-7082-3p",-4.79951864381443,-1.02486364779777,0.369813626070275,1
"mmu-mir-504-3p",-4.79611843315185,-0.977836841944069,0.510702120710814,1
"mmu-mir-295-5p",-4.74555464752994,-1.15536816795104,0.653016460015734,1
"mmu-mir-1668",-4.73974808951593,-1.04988521231374,0.384827070012205,1
"mmu-mir-493-3p",-4.73047027172922,-1.08865576720148,0.272132030825531,1
"mmu-mir-668-3p",-4.72677265858763,-0.98685824783476,0.203185668061209,1
"mmu-mir-3077-3p",-4.72677265858763,-0.98685824783476,0.203185668061209,1
"mmu-mir-219a-2-3p",-4.72070199914286,3.63179514293933,0.170333127942646,1
"mmu-mir-673-3p",-4.71191497907637,-1.03159251193249,0.268110215584411,1
"mmu-mir-8106",-4.70619328628888,-1.05802303304406,0.418053897525074,1
"mmu-mir-299a-5p",-4.70275990594201,-1.03992796343614,0.549403052845789,1
"mmu-mir-201-5p",-4.64089627816952,-1.11611842983166,0.225994290542869,1
"mmu-mir-6394",4.63012876775113,-1.61035633624233,0.0560646402240689,0.871720779282919
"mmu-mir-7000-5p",4.63012876775113,-1.61035633624233,0.0560646402240689,0.871720779282919
"mmu-mir-7670-5p",4.63012876775113,-1.61035633624233,0.0560646402240689,0.871720779282919
"mmu-mir-431-3p",-4.59529557486624,-1.15910189080052,0.323875530365794,1
"mmu-mir-135b-3p",-4.59529557486624,-1.15910189080052,0.323875530365794,1
"mmu-mir-302a-3p",-4.54851589707567,-1.17208607588737,0.522641566832175,1
"mmu-mir-7664-5p",-4.52996880458349,-1.09894845755365,0.257978992836679,1
"mmu-mir-496a-3p",-4.49677402308488,-1.14493907539926,0.308868520557992,1
"mmu-mir-196a-2-3p",-4.49631061336415,-1.20374387593876,0.490065621988269,1
"mmu-mir-7031-5p",-4.49631061336415,-1.20374387593876,0.490065621988269,1
"mmu-mir-7087-5p",-4.46813931959991,-1.19055149038083,0.55062392442695,1
"mmu-mir-1197-3p",-4.45092574570342,-1.20469085361718,0.522674327093172,1
"mmu-mir-7091-5p",-4.45092574570342,-1.20469085361718,0.522674327093172,1
"mmu-mir-150-3p",-4.45092574570342,-1.20469085361718,0.522674327093172,1
"mmu-mir-7673-5p",4.44624683121033,-0.77053636432967,0.00170097320478621,0.265399207231752
"mmu-mir-154-5p",-4.43345002767611,-1.23391180714473,0.31408283914092,1
"mmu-mir-6986-5p",-4.43345002767611,-1.23391180714473,0.31408283914092,1
"mmu-mir-146a-3p",-4.37506018209141,-1.17369182650397,0.351905440572858,1
"mmu-mir-1968-3p",-4.35446548808207,-1.27956931869469,0.470493371992264,1
"mmu-mir-7016-5p",-4.35446548808207,-1.27956931869469,0.470493371992264,1
"mmu-mir-7062-5p",-4.35446548808207,-1.27956931869469,0.470493371992264,1
"mmu-mir-299a-3p",-4.34234381641868,2.11648443630065,0.0416633265702939,0.871720779282919
"mmu-mir-3100-5p",-4.32149106792126,-1.21977854051958,0.353772386501289,1
"mmu-mir-7654-5p",-4.32149106792126,-1.21977854051958,0.353772386501289,1
"mmu-mir-200b-3p",-4.31372509578364,3.70206992375114,0.158487408764138,1
"mmu-mir-341-5p",-4.30098515019106,-1.2664156988958,0.555661867125558,1
"mmu-mir-7013-5p",-4.30098515019106,-1.2664156988958,0.555661867125558,1
"mmu-mir-410-3p",-4.24990313826067,0.698450661537789,0.0350758955140117,0.835041186791226
"mmu-mir-1188-5p",-4.24323061650307,-1.32471537607127,0.62274437306987,1
"mmu-mir-873a-3p",-4.23951610980518,-1.31369062796498,0.39607096375119,1
"mmu-mir-199a-3p",-4.23946974218221,1.47732931296801,0.0332507443146411,0.835041186791226
"mmu-mir-6349",4.23438156604157,-1.72365902422907,0.155103505485315,1
"mmu-mir-7033-3p",4.23438156604157,-1.72365902422907,0.155103505485315,1
"mmu-mir-6939-5p",4.23438156604157,-1.72365902422907,0.155103505485315,1
"mmu-mir-686",4.23438156604157,-1.72365902422907,0.155103505485315,1
"mmu-mir-1952",4.23438156604157,-1.72365902422907,0.155103505485315,1
"mmu-mir-7a-5p",4.19397798046503,14.5042211092293,3.03435741111663e-07,0.000444229924987475
"mmu-mir-323-3p",-4.17436991694586,1.94220924774008,0.026195145910825,0.737494107950919
"mmu-mir-467b-3p",-4.15355129503192,-1.23827695387793,0.410118161862527,1
"mmu-mir-467c-3p",-4.14518730774326,0.48233170601952,0.409436619806769,1
"mmu-mir-8093",-4.13885232619173,-1.36081352869878,0.609113901487639,1
"mmu-mir-5134-5p",-4.11245042966674,-1.35067079271486,0.561717926725362,1
"mmu-mir-382-5p",-4.10038724419235,2.55411038556519,0.00297257807130848,0.31084673545683
"mmu-mir-3072-3p",-4.08810762060744,-1.40747564555107,0.594520147493276,1
"mmu-mir-3569-3p",-4.08810762060744,-1.40747564555107,0.594520147493276,1
"mmu-mir-6929-5p",-4.0439138799357,-1.35038828739175,0.514812276767912,1
"mmu-mir-5620-3p",-4.03083387523534,-1.39836886850792,0.62499439374741,1
"mmu-mir-467a-3p",-4.00390895114976,7.68670681695175,0.32460421077467,1
"mmu-mir-200c-3p",-4.00026755946621,2.90833185637925,0.0498344656634444,0.871720779282919
"mmu-mir-465a-5p",-3.98728865733836,-1.33973609583449,0.490615794617934,1
"mmu-mir-369-3p",-3.97674102099256,2.43792885535583,0.00752707686298856,0.473035907726449
"mmu-mir-6991-5p",-3.96595924772839,-1.44708923637671,0.702222644161828,1
"mmu-mir-3088-3p",-3.96595924772839,-1.44708923637671,0.702222644161828,1
"mmu-mir-18b-3p",-3.93410659881915,-1.44844564356427,0.588003830248082,1
"mmu-mir-376a-5p",-3.84989092936844,-1.44012508697606,0.593997909141695,1
"mmu-mir-7005-5p",-3.84989092936844,-1.44012508697606,0.593997909141695,1
"mmu-mir-7008-5p",-3.84989092936844,-1.44012508697606,0.593997909141695,1
"mmu-mir-541-3p",-3.83391800360941,-1.45489317799637,0.87947993203252,1
"mmu-mir-411-5p",-3.83052567788118,4.22686434010989,0.00827605699573306,0.473035907726449
"mmu-mir-134-3p",-3.7600526410491,-1.49130410334814,0.729104180751774,1
"mmu-mir-6977-5p",-3.7600526410491,-1.49130410334814,0.729104180751774,1
"mmu-mir-6932-3p",-3.7600526410491,-1.49130410334814,0.729104180751774,1
"mmu-mir-6964-3p",-3.7600526410491,-1.49130410334814,0.729104180751774,1
"mmu-mir-199b-3p",-3.72858064396681,10.5003698857784,0.0603914779392707,0.871720779282919
"mmu-mir-7b-5p",3.72645540363451,7.29531124648618,1.5116305093953e-05,0.0110651353287736
"mmu-mir-3085-3p",-3.72598257374062,1.53262589719357,0.0351437008000165,0.835041186791226
"mmu-mir-337-5p",-3.72148023419607,2.83735427064754,0.00894081542808358,0.473035907726449
"mmu-mir-669h-5p",-3.70550526334767,3.77084342676069,0.359734463940394,1
"mmu-mir-7067-3p",-3.69622139147278,-1.54047206739232,0.729104180751774,1
"mmu-mir-718",-3.69622139147278,-1.54047206739232,0.729104180751774,1
"mmu-mir-7071-3p",-3.69622139147278,-1.54047206739232,0.729104180751774,1
"mmu-mir-3083-3p",-3.69622139147278,-1.54047206739232,0.729104180751774,1
"mmu-mir-290b-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-3070-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-216a-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-376a-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-3971",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-6386",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-6347",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-1941-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-717",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-7065-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-1224-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-7230-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-6377",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-6404",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-202-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-3105-5p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-6905-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-1905",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-2136",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-141-3p",3.68724269624902,-1.84797951777954,0.500000000000004,1
"mmu-mir-743a-3p",-3.68514255985351,-1.43386246268448,0.593997909141695,1
"mmu-mir-8090",-3.68514255985351,-1.43386246268448,0.593997909141695,1
"mmu-mir-200b-5p",-3.68514255985351,-1.43386246268448,0.593997909141695,1
"mmu-mir-3618-5p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-667-3p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-7071-5p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-702-3p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-6993-5p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-294-5p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-5626-3p",-3.67107811878054,-1.54295929147551,0.729104180751774,1
"mmu-mir-3069-5p",-3.64450678286034,-1.54573323344641,0.994887124084255,1
"mmu-mir-539-5p",-3.64450678286034,-1.54573323344641,0.994887124084255,1
"mmu-mir-669a-3p",-3.63769007138243,7.15195881933421,0.323915380067138,1
"mmu-mir-205-3p",-3.6104966353718,-1.48594068173434,0.729104180751774,1
"mmu-mir-7022-5p",-3.60911493340825,-1.59194376732411,0.909245876231869,1
"mmu-mir-376b-5p",-3.60911493340825,-1.59194376732411,0.909245876231869,1
"mmu-mir-7024-5p",-3.60911493340825,-1.59194376732411,0.909245876231869,1
"mmu-mir-6999-3p",-3.60911493340825,-1.59194376732411,0.909245876231869,1
"mmu-mir-666-3p",-3.60911493340825,-1.59194376732411,0.909245876231869,1
"mmu-mir-96-3p",-3.60294817557422,1.31746893008135,0.67431966078681,1
"mmu-mir-300-3p",-3.59525346544017,3.15887565526283,0.00455257497549675,0.385338146338506
"mmu-mir-434-5p",-3.57094706390333,4.17710856462464,0.0436525240842966,0.871720779282919
"mmu-mir-199a-5p",-3.54731331928782,8.61804960074628,0.1331632099083,1
"mmu-mir-7065-3p",-3.5384507420759,-1.53736191220901,0.729104180751774,1
"mmu-mir-7578",-3.5384507420759,-1.53736191220901,0.729104180751774,1
"mmu-mir-5110",-3.5384507420759,-1.53736191220901,0.729104180751774,1
"mmu-mir-5626-5p",-3.5384507420759,-1.53736191220901,0.729104180751774,1
"mmu-mir-466n-3p",-3.53113707767093,1.31550355631607,0.171626646585419,1
"mmu-mir-6955-3p",-3.52330091795338,-1.64376909693671,0.909245876231869,1
"mmu-mir-802-3p",-3.52330091795338,-1.64376909693671,0.909245876231869,1
"mmu-mir-7034-5p",-3.52330091795338,-1.64376909693671,0.909245876231869,1
"mmu-mir-6353",-3.50700812143902,-1.53992714962717,0.729104180751774,1
"mmu-mir-92a-2-5p",-3.50700812143902,-1.53992714962717,0.729104180751774,1
"mmu-mir-466m-3p",-3.46639703417063,2.16197182411686,0.291724893402267,1
"mmu-mir-541-5p",-3.46331408912211,5.57492867368701,0.00924516670448956,0.473035907726449
